Year,Country,Statistics,Rainfall(MM),Temperature(C),MinTemp(C),MaxTemp(C)
1999, Egypt, Apr Average,1.2,22.1,14.3,29.9
1999, Egypt, May Average,3.5,27.3,19.5,35.1
1999, Egypt, Jun Average,1.8,28.7,20.8,36.5
1999, Egypt, Jul Average,2.9,30.2,22.9,37.5
1999, Egypt, Aug Average,2.8,30.7,23.5,37.9
1999, Egypt, Sep Average,1.3,29.0,22.0,36.0
1999, Egypt, Oct Average,0.7,25.3,18.5,32.2
1999, Egypt, Nov Average,0.8,20.0,13.0,27.1
1999, Egypt, Dec Average,1.1,15.4,8.3,22.5
2000, Egypt, Jan Average,8.3,13.0,6.1,19.9
2000, Egypt, Feb Average,2.2,13.7,6.5,21.0
2000, Egypt, Mar Average,1.7,16.6,9.1,24.1
2000, Egypt, Apr Average,1.3,23.6,15.6,31.6
2000, Egypt, May Average,1.8,26.3,18.6,34.1
2000, Egypt, Jun Average,1.8,28.4,20.5,36.3
2000, Egypt, Jul Average,2.8,30.5,23.6,37.5
2000, Egypt, Aug Average,2.6,29.6,22.2,37.0
2000, Egypt, Sep Average,1.9,27.5,20.7,34.4
2000, Egypt, Oct Average,4.0,23.4,16.5,30.4
2000, Egypt, Nov Average,3.3,19.3,12.5,26.1
2000, Egypt, Dec Average,5.6,15.0,8.3,21.7
2001, Egypt, Jan Average,2.2,13.9,7.0,20.9
2001, Egypt, Feb Average,2.2,14.7,7.5,22.1
2001, Egypt, Mar Average,1.8,20.6,13.1,28.1
2001, Egypt, Apr Average,1.8,23.2,15.4,31.0
2001, Egypt, May Average,1.1,26.9,19.2,34.8
2001, Egypt, Jun Average,1.8,28.5,20.6,36.3
2001, Egypt, Jul Average,2.8,30.2,22.9,37.5
2001, Egypt, Aug Average,2.6,31.0,23.8,38.3
2001, Egypt, Sep Average,1.3,28.8,22.1,35.6
2001, Egypt, Oct Average,1.8,24.3,17.4,31.3
2001, Egypt, Nov Average,1.3,19.1,12.1,26.2
2001, Egypt, Dec Average,4.2,14.6,7.7,21.6
2002, Egypt, Jan Average,7.7,12.2,5.6,18.9
2002, Egypt, Feb Average,5.1,16.2,9.1,23.4
2002, Egypt, Mar Average,1.1,19.4,12.0,26.8
2002, Egypt, Apr Average,1.7,22.6,14.8,30.5
2002, Egypt, May Average,1.1,26.3,18.7,34.0
2002, Egypt, Jun Average,1.8,28.6,21.0,36.3
2002, Egypt, Jul Average,2.8,31.2,24.0,38.3
2002, Egypt, Aug Average,2.6,30.9,23.9,38.0
2002, Egypt, Sep Average,1.3,29.4,22.5,36.3
2002, Egypt, Oct Average,3.7,25.2,18.2,32.3
2002, Egypt, Nov Average,0.8,20.1,13.2,27.1
2002, Egypt, Dec Average,3.7,15.2,8.4,22.0
2003, Egypt, Jan Average,1.8,15.2,8.4,22.0
2003, Egypt, Feb Average,4.2,14.0,6.9,21.0
2003, Egypt, Mar Average,4.0,16.5,9.3,23.7
2003, Egypt, Apr Average,1.2,23.1,15.3,31.0
2003, Egypt, May Average,1.0,27.9,20.3,35.6
2003, Egypt, Jun Average,1.9,29.9,22.2,37.6
2003, Egypt, Jul Average,2.9,30.1,23.0,37.1
2003, Egypt, Aug Average,2.6,30.5,23.5,37.6
2003, Egypt, Sep Average,1.3,28.3,21.4,35.2
2003, Egypt, Oct Average,0.5,25.2,18.2,32.3
2003, Egypt, Nov Average,1.2,19.9,13.2,26.8
2003, Egypt, Dec Average,4.3,14.5,7.7,21.4
2004, Egypt, Jan Average,7.4,13.5,6.7,20.2
2004, Egypt, Feb Average,4.1,15.3,8.1,22.5
2004, Egypt, Mar Average,4.6,19.2,11.9,26.7
2004, Egypt, Apr Average,1.0,22.5,14.8,30.3
2004, Egypt, May Average,1.4,27.6,19.8,35.5
2004, Egypt, Jun Average,1.8,28.7,20.9,36.5
2004, Egypt, Jul Average,2.8,30.4,23.2,37.6
2004, Egypt, Aug Average,2.6,29.8,22.7,36.9
2004, Egypt, Sep Average,1.4,27.7,20.8,34.7
2004, Egypt, Oct Average,0.6,25.2,18.3,32.2
2004, Egypt, Nov Average,2.0,19.9,13.2,26.7
2004, Egypt, Dec Average,2.8,14.8,7.9,21.7
2005, Egypt, Jan Average,4.5,13.8,6.9,20.6
2005, Egypt, Feb Average,6.5,15.6,8.4,22.9
2005, Egypt, Mar Average,5.2,18.6,11.0,26.2
2005, Egypt, Apr Average,6.0,22.8,15.1,30.6
2005, Egypt, May Average,0.9,26.0,18.4,33.6
2005, Egypt, Jun Average,2.1,29.0,21.3,36.8
2005, Egypt, Jul Average,2.9,30.4,23.3,37.5
2005, Egypt, Aug Average,2.6,30.7,23.6,37.8
2005, Egypt, Sep Average,1.8,28.7,21.7,35.8
2005, Egypt, Oct Average,0.7,24.2,17.3,31.2
2005, Egypt, Nov Average,1.5,18.4,11.6,25.3
2005, Egypt, Dec Average,2.7,16.0,9.2,22.9
2006, Egypt, Jan Average,3.1,14.0,7.2,20.8
2006, Egypt, Feb Average,2.9,16.2,8.7,23.7
2006, Egypt, Mar Average,2.7,19.0,11.2,26.9
2006, Egypt, Apr Average,4.0,22.4,14.5,30.4
2006, Egypt, May Average,1.0,26.4,18.7,34.1
2006, Egypt, Jun Average,1.8,29.8,22.2,37.5
2006, Egypt, Jul Average,2.8,29.7,22.7,36.9
2006, Egypt, Aug Average,2.7,31.1,24.0,38.2
2006, Egypt, Sep Average,1.3,28.9,22.0,35.9
2006, Egypt, Oct Average,0.9,24.9,18.1,31.9
2006, Egypt, Nov Average,1.0,17.8,11.0,24.7
2006, Egypt, Dec Average,3.1,14.1,7.2,21.2
2007, Egypt, Jan Average,2.5,13.1,6.0,20.1
2007, Egypt, Feb Average,4.5,15.4,8.0,22.8
2007, Egypt, Mar Average,1.5,18.5,10.9,26.2
2007, Egypt, Apr Average,2.5,22.6,14.9,30.5
2007, Egypt, May Average,3.5,27.4,19.7,35.3
2007, Egypt, Jun Average,1.9,29.7,22.0,37.6
2007, Egypt, Jul Average,2.9,30.4,23.5,37.4
2007, Egypt, Aug Average,2.7,30.7,23.7,37.8
2007, Egypt, Sep Average,1.7,27.6,20.7,34.5
2007, Egypt, Oct Average,1.7,25.6,18.5,32.7
2007, Egypt, Nov Average,1.3,19.8,12.8,26.8
2007, Egypt, Dec Average,1.6,15.0,8.1,22.0
2008, Egypt, Jan Average,8.2,12.4,5.6,19.3
2008, Egypt, Feb Average,3.0,13.9,6.4,21.5
2008, Egypt, Mar Average,0.8,20.8,13.0,28.7
2008, Egypt, Apr Average,1.2,23.6,15.6,31.7
2008, Egypt, May Average,1.1,26.9,19.1,34.8
2008, Egypt, Jun Average,1.8,30.6,22.8,38.5
2008, Egypt, Jul Average,2.8,30.4,23.3,37.6
2008, Egypt, Aug Average,2.6,31.0,23.9,38.1
2008, Egypt, Sep Average,1.9,29.2,22.3,36.2
2008, Egypt, Oct Average,4.1,24.4,17.4,31.4
2008, Egypt, Nov Average,0.4,20.3,13.4,27.2
2008, Egypt, Dec Average,1.7,16.2,9.2,23.2
2009, Egypt, Jan Average,3.3,14.9,7.7,22.1
2009, Egypt, Feb Average,3.2,15.9,8.4,23.5
2009, Egypt, Mar Average,1.0,17.7,10.0,25.4
2009, Egypt, Apr Average,0.8,23.4,15.4,31.5
2009, Egypt, May Average,1.1,26.0,17.9,34.1
2009, Egypt, Jun Average,1.8,30.1,22.4,37.9
2009, Egypt, Jul Average,2.8,30.3,23.2,37.4
2009, Egypt, Aug Average,2.6,30.2,22.7,37.7
2009, Egypt, Sep Average,1.3,28.6,21.7,35.5
2009, Egypt, Oct Average,0.9,25.8,18.7,32.9
2009, Egypt, Nov Average,1.0,19.2,12.3,26.2
2009, Egypt, Dec Average,2.8,15.7,8.8,22.7
2010, Egypt, Jan Average,2.1,15.8,8.9,22.8
2010, Egypt, Feb Average,2.5,17.7,10.3,25.2
2010, Egypt, Mar Average,0.8,20.8,13.3,28.4
2010, Egypt, Apr Average,0.8,24.0,16.0,32.0
2010, Egypt, May Average,1.1,27.2,19.3,35.1
2010, Egypt, Jun Average,1.8,30.6,22.9,38.3
2010, Egypt, Jul Average,3.0,30.6,23.1,38.1
2010, Egypt, Aug Average,4.2,31.6,24.6,38.7
2010, Egypt, Sep Average,1.6,29.6,22.7,36.5
2010, Egypt, Oct Average,0.8,27.3,20.2,34.4
2010, Egypt, Nov Average,0.4,21.6,14.7,28.6
2010, Egypt, Dec Average,4.4,16.4,9.5,23.4
2011, Egypt, Jan Average,2.4,14.3,7.3,21.4
2011, Egypt, Feb Average,2.4,16.5,9.1,23.9
2011, Egypt, Mar Average,2.6,18.1,10.4,25.8
2011, Egypt, Apr Average,3.3,22.2,14.3,30.1
2011, Egypt, May Average,1.7,26.5,18.8,34.3
2011, Egypt, Jun Average,2.1,29.3,21.7,37.0
2011, Egypt, Jul Average,2.8,30.7,23.7,37.9
2011, Egypt, Aug Average,2.6,30.4,23.4,37.5
2011, Egypt, Sep Average,1.8,28.3,21.4,35.3
2011, Egypt, Oct Average,0.9,24.5,17.5,31.5
2011, Egypt, Nov Average,4.4,17.2,10.3,24.1
2011, Egypt, Dec Average,1.4,14.5,7.6,21.5
2012, Egypt, Jan Average,4.5,12.3,5.3,19.4
2012, Egypt, Feb Average,2.7,15.1,7.7,22.5
2012, Egypt, Mar Average,2.2,17.1,9.6,24.8
2012, Egypt, Apr Average,1.6,24.0,16.0,32.1
2012, Egypt, May Average,1.5,27.8,20.0,35.6
2012, Egypt, Jun Average,2.0,30.5,22.8,38.3
2012, Egypt, Jul Average,2.8,31.4,24.3,38.6
2012, Egypt, Aug Average,2.6,31.1,24.1,38.2
2012, Egypt, Sep Average,1.5,28.5,21.5,35.6
2012, Egypt, Oct Average,1.5,26.2,19.1,33.3
2012, Egypt, Nov Average,2.1,20.9,14.0,27.8
2012, Egypt, Dec Average,4.9,15.5,8.6,22.4
2013, Egypt, Jan Average,9.1,14.4,7.5,21.4
2013, Egypt, Feb Average,2.0,16.4,8.9,24.0
2013, Egypt, Mar Average,1.3,20.3,12.6,28.1
2013, Egypt, Apr Average,1.7,22.4,14.5,30.4
2013, Egypt, May Average,2.2,28.3,20.4,36.2
2013, Egypt, Jun Average,2.1,29.8,22.0,37.6
2013, Egypt, Jul Average,2.8,29.5,22.4,36.6
2013, Egypt, Aug Average,4.5,30.2,22.8,37.6
2013, Egypt, Sep Average,1.5,28.6,21.3,35.8
2013, Egypt, Oct Average,0.8,23.7,16.6,30.9
2013, Egypt, Nov Average,0.9,20.8,13.8,27.8
2013, Egypt, Dec Average,6.3,14.9,8.1,21.8
2014, Egypt, Jan Average,4.4,14.6,7.6,21.7
2014, Egypt, Feb Average,7.7,16.2,8.6,23.8
2014, Egypt, Mar Average,2.9,19.2,11.6,26.8
2014, Egypt, Apr Average,1.7,24.2,16.3,32.2
2014, Egypt, May Average,4.2,27.4,19.7,35.2
2014, Egypt, Jun Average,2.1,29.6,21.8,37.4
2014, Egypt, Jul Average,3.0,30.5,23.5,37.6
2014, Egypt, Aug Average,2.8,30.6,23.7,37.6
2014, Egypt, Sep Average,1.4,28.9,22.0,35.8
2014, Egypt, Oct Average,1.3,24.8,17.7,31.9
2014, Egypt, Nov Average,3.6,19.6,12.8,26.4
2014, Egypt, Dec Average,0.9,16.5,9.6,23.5
2015, Egypt, Jan Average,4.0,13.3,6.4,20.3
2015, Egypt, Feb Average,2.5,15.5,8.1,23.0
2015, Egypt, Mar Average,3.2,19.8,12.1,27.4
2015, Egypt, Apr Average,2.1,21.8,13.9,29.8
2015, Egypt, May Average,2.9,27.6,19.9,35.4
2015, Egypt, Jun Average,2.2,29.2,21.5,37.0
2015, Egypt, Jul Average,2.8,30.5,23.3,37.7
2015, Egypt, Aug Average,2.7,31.4,24.1,38.8
2015, Egypt, Sep Average,1.6,30.4,23.2,37.7
2015, Egypt, Oct Average,3.9,26.5,19.5,33.6
2015, Egypt, Nov Average,3.0,19.8,12.9,26.8
2015, Egypt, Dec Average,4.2,13.7,6.8,20.6
2016, Egypt, Jan Average,5.2,13.1,6.2,20.0
2016, Egypt, Feb Average,1.4,16.6,9.1,24.2
2016, Egypt, Mar Average,2.6,20.2,12.6,27.8
2016, Egypt, Apr Average,2.0,25.2,17.4,33.1
2016, Egypt, May Average,1.6,27.7,20.0,35.5
2016, Egypt, Jun Average,2.1,31.4,23.7,39.2
2016, Egypt, Jul Average,2.9,30.4,23.4,37.5
2016, Egypt, Aug Average,2.6,30.8,23.7,38.0
2016, Egypt, Sep Average,1.4,28.9,22.0,35.8
2016, Egypt, Oct Average,2.9,25.8,18.7,33.0
2016, Egypt, Nov Average,1.5,20.4,13.6,27.2
2016, Egypt, Dec Average,2.5,13.8,7.0,20.7
2017, Egypt, Jan Average,1.7,13.2,6.3,20.2
2017, Egypt, Feb Average,2.4,14.2,6.6,21.8
2017, Egypt, Mar Average,1.7,18.6,10.9,26.2
2017, Egypt, Apr Average,3.0,23.0,15.2,30.9
2017, Egypt, May Average,1.6,27.4,19.2,35.8
2017, Egypt, Jun Average,2.1,30.4,22.2,38.7
2017, Egypt, Jul Average,2.8,31.0,24.0,38.1
2017, Egypt, Aug Average,2.8,31.3,24.2,38.5
2017, Egypt, Sep Average,1.4,28.7,21.8,35.6
2017, Egypt, Oct Average,1.0,24.3,17.2,31.4
2017, Egypt, Nov Average,1.0,18.9,12.1,25.8
2017, Egypt, Dec Average,1.8,16.9,10.0,23.8
2018, Egypt, Jan Average,7.0,13.9,6.9,20.9
2018, Egypt, Feb Average,4.4,18.0,10.6,25.4
2018, Egypt, Mar Average,1.4,21.5,13.7,29.3
2018, Egypt, Apr Average,13.7,23.9,16.0,31.9
2018, Egypt, May Average,2.2,28.8,21.3,36.4
2018, Egypt, Jun Average,2.1,30.7,22.5,39.0
2018, Egypt, Jul Average,2.9,30.7,23.9,37.5
2018, Egypt, Aug Average,2.7,31.1,23.9,38.2
2018, Egypt, Sep Average,1.4,29.2,22.0,36.4
2018, Egypt, Oct Average,1.8,25.4,18.4,32.3
2018, Egypt, Nov Average,4.8,19.6,12.9,26.3
2018, Egypt, Dec Average,6.7,14.9,8.1,21.7
2019, Egypt, Jan Average,3.3,12.9,5.9,19.9
2019, Egypt, Feb Average,7.9,15.0,7.7,22.4
2019, Egypt, Mar Average,2.2,17.4,10.0,24.9
2019, Egypt, Apr Average,3.3,22.1,14.3,30.0
2019, Egypt, May Average,2.9,27.9,20.0,35.8
2019, Egypt, Jun Average,2.1,31.0,23.0,39.0
2019, Egypt, Jul Average,2.8,31.2,24.2,38.3
2019, Egypt, Aug Average,2.7,30.7,23.4,38.1
2019, Egypt, Sep Average,1.3,28.6,21.3,35.9
2019, Egypt, Oct Average,4.6,26.2,19.0,33.5
2019, Egypt, Nov Average,1.0,20.6,13.7,27.5
2019, Egypt, Dec Average,4.4,15.3,8.4,22.3
2020, Egypt, Jan Average,5.6,12.6,5.8,19.5
2020, Egypt, Feb Average,7.8,15.0,7.7,22.3
2020, Egypt, Mar Average,4.3,18.8,11.3,26.3
2020, Egypt, Apr Average,2.1,22.3,14.6,30.1
2020, Egypt, May Average,1.9,26.3,18.5,34.2
2020, Egypt, Jun Average,2.1,27.6,20.0,35.4
2020, Egypt, Jul Average,2.9,30.6,23.6,37.7
2020, Egypt, Aug Average,2.8,30.9,23.7,38.2
2020, Egypt, Sep Average,1.4,30.4,23.2,37.6
2020, Egypt, Oct Average,1.9,27.2,20.1,34.3
2020, Egypt, Nov Average,4.2,18.9,12.1,25.7
2020, Egypt, Dec Average,1.8,16.4,9.6,23.3
