year,population_total,agricultural_land_sq_km,animals_production_head,cereal_yield_kg_per_hectare,co2_emissions_kt,transpiration_sum,evaporation_sum,eti_sum,npp_sum,ret_sum,gwp_mean,renewable_internal_freshwater_resources_per_capita_cubic_meters,land_area_equipped_for_irrigation_ha,water_use_efficiency_united_states_dollars_per_cubic_meter,level_of_water_stress_freshwater_withdrawal_as_a_proportion_of_available_freshwater_resources,methane_emissions_kt_of_co2_equivalent,nitrous_oxide_emissions_thousand_metric_tons_of_co2_equivalent,climatic_water_deficit_annual_kg_m2,potential_evapotranspiration_annual_kg_m2,wapor_gross_water_productivity_annual_kg_m3,wapor_net_primary_production_annual_g_m2,wapor_reference_evapotranspiration_annual_mm,freshwater_abstracted_fresh_surface_water_abstracted_fresh_groundwater_abstracted_mio_m3_y,_agriculture_forestry_and_fishing_isic_01_03_mio_m3_y,_manufacturing_isic_10_33_mio_m3_y,rainfall_mm,mintemp_c,maxtemp_c,cereal_crops_production_ton,cereal_crops_yield_hg_ha,harvested_area_of_cereal_crops_ha,nile
1997,64892269.0,32449.2,28051420.0,6605.5,103960.0,,,,,,,15.41015618,3244.0,,,41530.0,17120.0,,,,,,,,,2.9583333333333326,14.966666666666665,29.59166666666667,21726493.0,303633.0,2735816.0,
1998,66200259.0,32596.2,28827000.0,6797.4,109270.0,,,,,,,,3259.0,,,42590.0,17610.0,,,,,,,,,3.1666666666666665,15.85,30.266666666666666,20948625.0,319301.0,2642833.0,
1999,67515591.0,34830.0,28726000.0,7166.6,114670.0,,,,,,,,3289.0,,,45980.0,17680.0,,,,,,,,,2.041666666666667,15.775,30.4,23280479.0,325259.0,2707099.0,
2000,68831561.0,32910.0,29978000.0,7280.1,112860.0,,,,,,,,3291.0,2.37,103.9,48390.0,18420.0,,,,,,,45900.0,1630.0,3.108333333333334,15.016666666666667,29.50833333333333,24107900.0,329459.0,2761724.0,
2001,70152662.0,33380.0,27853051.0,7099.4,125010.0,,,,,,,,3338.0,2.43,105.6,48260.0,18710.0,65.01708636,77.82136905,,,,,46050.0,1040.0,2.075,15.733333333333334,30.30833333333333,22047276.0,334566.0,2614460.0,
2002,71485044.0,34240.0,28227608.0,7445.6,127740.0,,,,,,,13.98894012,3422.0,2.45,107.2,49650.0,19410.0,65.85404239,78.70981853,,,,,47100.0,1070.0,2.7833333333333337,15.949999999999998,30.32500000000001,24266668.0,344184.0,2712234.0,
2003,72826102.0,34090.0,28347480.0,7515.4,131240.0,,,,,,,,3402.0,2.49,108.9,49970.0,19820.0,67.41073004,80.89013671,,,,57914.0,47380.0,1080.0,2.2416666666666667,15.783333333333333,30.10833333333333,24801497.0,346990.0,2751930.0,
2004,74172073.0,34780.0,28193051.0,7556.2,142690.0,,,,,,,,3471.0,2.57,110.6,50500.0,20980.0,66.70045467,80.35801846,,,,58764.0,49500.0,1090.0,2.708333333333333,15.691666666666668,30.125,25060192.0,347142.0,2755787.0,
2005,75523576.0,35230.0,26953079.0,7536.9,160590.0,,,,,,,,3516.0,2.68,112.3,50700.0,20800.0,66.00478491,80.13832663,,,,58984.0,49900.0,1100.0,3.1166666666666667,15.65,30.1,26509045.0,349541.0,2975160.0,
2006,76873670.0,35330.0,28343397.0,7500.2,169130.0,,,,,,,,3526.0,2.8,114.0,52150.0,21270.0,65.77107776,79.9116559,,,,59484.0,55100.0,2500.0,2.275,15.624999999999998,30.18333333333333,27024015.0,342584.0,3002359.0,
2007,78232124.0,35380.0,30288778.0,7418.5,182230.0,,,,,,,12.78247284,3531.0,3.0,115.6,53700.0,21550.0,66.54461732,80.48641579999997,,,,60504.0,50800.0,2350.0,2.358333333333333,15.733333333333333,30.30833333333333,26186080.0,336899.0,2911543.0,
2008,79636081.0,35420.0,30508486.0,7452.2,189120.0,,,,,,,,3535.0,3.17,117.3,54750.0,22580.0,66.25722894,79.22944088,,,,63649.0,53000.0,2999.0,2.4666666666666663,16.0,30.68333333333333,28581022.0,337217.0,3186032.0,
2009,81134789.0,36890.0,29596801.0,7158.3,195490.0,48.03124679323283,37.010533656042156,73.38961435630694,1.8522816159098352,2484.353522122427,0.044256102240768064,,3682.0,3.28,119.0,53600.0,23250.0,69.15755664,83.01691942,0.044256102,0.154356792,2484.353522,64149.0,53000.0,2999.0,1.8833333333333333,15.766666666666667,30.575,26439090.0,328856.0,3179076.0,
2010,82761244.0,36710.0,29971724.0,6504.3,196500.0,48.80507572749652,40.73958971201374,77.82782606406778,1.0087709397027864,2596.799248990599,0.039485186908624535,,3664.0,3.4,120.7,53530.0,23640.0,70.66932482,82.92868659,0.039485187000000005,0.084064236,2596.799249,62000.0,60500.0,1350.0,1.9583333333333333,17.124999999999996,31.79166666666667,22352522.0,306064.0,2992580.0,
2011,84529251.0,36200.0,29608799.0,7246.3,201610.0,47.33408646568633,34.52127628566886,70.18086202192386,2.1687357816693043,2426.2216451763197,0.060658404095804724,,3613.0,3.78,122.4,55070.0,23650.0,64.63201565,78.51189627,0.06065840400000001,0.180727973,2426.221645,63000.0,60900.0,1200.0,2.3666666666666667,15.458333333333336,30.025,25799468.0,330089.0,3037991.0,
2012,86422240.0,36960.0,29635463.0,7269.0,212410.0,49.22513733240735,38.25947592102832,75.80655740872636,1.5670129402320532,2462.930761081589,0.052038053281081104,11.57109559,3696.0,4.1,124.0,56000.0,22630.0,67.45730021,80.99869598,0.052038053,0.130584439,2462.930761,63200.0,61500.0,1200.0,2.4916666666666667,16.083333333333332,30.71666666666667,27698439.0,325026.0,3268112.0,
2013,88404652.0,37309.7,29623300.0,7285.3,210430.0,49.75891856762282,35.24846740629569,73.38337764137978,2.4167371005431018,2525.560877572015,0.058348282080307075,,3724.0,4.2,122.7,55670.0,22110.0,67.77405788,81.77605076,0.058348282,0.201394749,2525.560878,62200.0,62100.0,1200.0,2.9333333333333336,15.908333333333335,30.68333333333333,27941395.0,330250.0,3311233.0,
2014,90424668.0,37151.9,29221300.0,7085.1,216650.0,51.14613318062279,38.24897887728524,77.72070428973234,2.68948090283666,2502.177612499086,0.06894640334244792,,3708.0,4.28,121.3,55880.0,21640.0,66.69629118,80.88158289,0.068946403,0.224123399,2502.177612,62400.0,62350.0,1200.0,3.0,16.241666666666664,30.824999999999992,26970359.0,325675.0,3291950.0,
2015,92442549.0,37898.771,29695000.0,7117.2,225950.0,50.53718827770522,40.62935160783999,79.52183529382471,1.9233069914429959,2458.794706972236,0.05596237049026232,,3782.0,4.35,110.5646630237,55570.0,21630.0,66.41289789999999,79.80908962,0.055962371,0.160275573,2458.794707,62400.0,62350.0,2800.0,2.9250000000000003,15.975,30.675,26354857.0,340259.0,3251394.0,
2016,94447071.0,37337.654,30095000.0,7248.9,233960.0,50.68692843072883,40.407976061454775,79.72593168565461,1.8695721770780733,2509.332391248388,0.05783739382601474,,3726.0,4.44,110.1092896175,56310.0,22130.0,69.10568859,83.07276035,0.057837394,0.155797709,2509.332391,,62150.0,1200.0,2.391666666666666,16.45,31.0,26928364.0,344282.0,3225855.0,
2017,96442590.0,38359.688,24391708.0,7401.1,238690.0,50.251584296807955,39.950924843628265,78.79952338948041,2.2096403323817126,2477.7519113019066,0.05868536557879636,10.36886297,3823.0,4.38,116.93989071040001,56050.0,22050.0,66.61611851,80.19460445,0.058685366,0.184136685,2477.751911,,,,1.9416666666666669,15.808333333333332,30.566666666666666,26230308.0,349995.0,3096519.0,
2018,98423602.0,38359.688,21035261.0,7148.5,246260.0,52.71399375482443,51.967417967052356,93.29017433860231,1.6261865379369622,2517.1258083927955,0.04393166349257865,,3823.0,4.58,116.93989071040001,56870.0,22320.0,68.33877018,82.06891991,0.043931663,0.135515535,2517.125808,,,,4.258333333333334,16.683333333333334,31.275,19646939.0,333154.0,2591258.0,
2019,100388076.0,,22684965.0,,,52.62307705715562,43.02523678619868,84.16131016240597,1.9505846859645468,2516.783305037088,0.052360750879291235,,,,,,,64.9577687,78.81049284,0.052360751,0.162548714,2516.783305,,,,3.208333333333333,15.908333333333333,30.633333333333336,28587740.0,326939.0,3435314.0,
2020,102334403.0,,,,,53.75697195627184,51.31156725293515,93.63066241520886,2.663591408576325,2452.687812985851,0.05643138476071885,,,,,,,69.39467654,85.07071822,0.056431385,0.221965979,2452.687813,,,,3.233333333333333,15.85,30.383333333333336,,,,
